"""","総 数(人)"," 本  科_普通科(人)"," 本  科_農業科(人)"," 本  科_工業科(人)"," 本  科_商業科(人)"," 本  科_家庭科(人)"," 本  科_看護科(人)"," 本  科_その他(人)"," 本  科_総 合(人)","専攻科_看護科(人)"
"平成11年(1999年)","38057.0","24653.0","763.0","3668.0","4525.0","586.0","114.0","2422.0","1244.0","82.0"
"平成12年(2000年)","38033.0","24383.0","787.0","3719.0","4543.0","537.0","118.0","2601.0","1265.0","80.0"
"","","","","","","","","","",""
"平成13年(2001年)","37377.0","23542.0","764.0","3769.0","4514.0","484.0","111.0","2817.0","1294.0","82.0"
"平成14年(2002年)","36648.0","22760.0","755.0","3799.0","4425.0","538.0","109.0","2892.0","1287.0","83.0"
"平成15年(2003年)","35706.0","22021.0","728.0","3759.0","3970.0","578.0","113.0","3171.0","1282.0","84.0"
"平成16年(2004年)","34877.0","21581.0","640.0","3712.0","3577.0","549.0","119.0","3113.0","1509.0","77.0"
"平成17年(2005年)","33373.0","20763.0","541.0","3516.0","3302.0","454.0","115.0","2945.0","1668.0","69.0"
"","","","","","","","","","",""
"平成18年(2006年)","32285.0","20008.0","479.0","3373.0","3302.0","364.0","111.0","2775.0","1806.0","67.0"
"平成19年(2007年)","31103.0","19310.0","490.0","3153.0","3075.0","340.0","114.0","2639.0","1914.0","68.0"
"平成20年(2008年)","30674.0","19162.0","519.0","2746.0","3124.0","341.0","117.0","2612.0","1984.0","69.0"
"平成21年(2009年)","29877.0","18926.0","487.0","2608.0","2771.0","320.0","122.0","2492.0","2088.0","63.0"
"平成22年(2010年)","29889.0","19165.0","497.0","2628.0","2540.0","342.0","121.0","2461.0","2067.0","68.0"
"","","","","","","","","","",""
"平成23年(2011年)","29343.0","18983.0","489.0","2651.0","2437.0","328.0","120.0","2276.0","1991.0","68.0"
"平成24年(2012年)","29203.0","18876.0","500.0","2586.0","2502.0","331.0","119.0","2166.0","2052.0","71.0"
"平成25年(2013年)","28579.0","18503.0","449.0","2583.0","2427.0","290.0","120.0","2080.0","2047.0","80.0"
"平成26年(2014年)","28523.0","18515.0","462.0","2565.0","2450.0","274.0","119.0","1984.0","2077.0","77.0"
